time, bids, asks, maxclose, minclose, uppertarget, lowertarget
1074470400, 1.2357, 1.2361, 1.2731, 1.2357, 2.994254268835471, -0.03237031641983944
1074556800, 1.2598, 1.2602, 1.2731, 1.247, 1.023972059056986, -1.047785362756001
1074643200, 1.2639, 1.2643, 1.2731, 1.2423, 0.6962576153176611, -1.740644038294171
1074729600, 1.2731, 1.2735, 1.2731, 1.2408, -0.0314193700416272, -2.568533500903303
1074816000, 1.258, 1.2584, 1.2643, 1.2408, 0.4689984101748821, -1.399046104928463
1075075200, 1.247, 1.2474, 1.2643, 1.2408, 1.355252606255023, -0.5292702485966271
1075161600, 1.2643, 1.2647, 1.2643, 1.2408, -0.03163806058688254, -1.890374120066442
1075248000, 1.2423, 1.2427, 1.2546, 1.2408, 0.9579006681155938, -0.1529421234806418
1075334400, 1.2408, 1.2412, 1.2556, 1.2408, 1.160541586073516, -0.03223726627981592
1075420800, 1.2477, 1.2481, 1.2706, 1.2441, 1.803318105313774, -0.3205898853891163
1075680000, 1.2441, 1.2445, 1.2706, 1.2441, 2.097902097902099, -0.03215175628968378
1075766400, 1.2546, 1.255, 1.2706, 1.2537, 1.243424198947877, -0.1036186832456446
1075852800, 1.2537, 1.2541, 1.2844, 1.2537, 2.4168461354391, -0.03190555954374699
1075939200, 1.2556, 1.256, 1.2844, 1.2556, 2.261866836572155, -0.03185727938833673
1076025600, 1.2706, 1.271, 1.2844, 1.2684, 1.054619864630889, -0.2046277349283752
1076284800, 1.2697, 1.2701, 1.2844, 1.2684, 1.126250295345356, -0.1338898952508494
1076371200, 1.2684, 1.2688, 1.2856, 1.2684, 1.32450331125829, -0.03153579312519363
1076457600, 1.2844, 1.2848, 1.2856, 1.2701, 0.06228589224541684, -1.144503270009338
1076544000, 1.2819, 1.2823, 1.2856, 1.2701, 0.2574303767844668, -0.9517123020516413
1076630400, 1.2736, 1.274, 1.2856, 1.2539, 0.9108040201005068, -1.57820351758794
1076889600, 1.2764, 1.2768, 1.2856, 1.2539, 0.6894390473206002, -1.794108429959254
1076976000, 1.2856, 1.286, 1.2856, 1.2539, -0.03111387678904449, -2.496888612321096
1077062400, 1.2701, 1.2705, 1.2738, 1.2492, 0.2598220612550256, -1.677033304464206
1077148800, 1.2738, 1.2742, 1.2738, 1.2441, -0.03140210394096058, -2.363008321557546
1077235200, 1.2539, 1.2543, 1.2684, 1.2441, 1.124491586250897, -0.8134619985644779
1077494400, 1.2577, 1.2581, 1.2684, 1.2441, 0.8189552357477916, -1.113143038880497
1077580800, 1.2684, 1.2688, 1.2684, 1.2213, -0.03153579312519363, -3.744875433617146
1077667200, 1.2492, 1.2496, 1.2492, 1.2194, -0.03202049311559045, -2.417547230227346
1077753600, 1.2441, 1.2445, 1.2492, 1.219, 0.377783136403838, -2.049674463467555
1077840000, 1.2492, 1.2496, 1.2492, 1.219, -0.03202049311559045, -2.449567723342936
1078099200, 1.2462, 1.2466, 1.2462, 1.219, -0.03209757663296067, -2.214732787674519
1078185600, 1.2213, 1.2217, 1.2398, 1.219, 1.482027347907967, -0.2210759027265966
1078272000, 1.2194, 1.2198, 1.2398, 1.219, 1.640150893882239, -0.06560603575528226
1078358400, 1.219, 1.2194, 1.2398, 1.219, 1.673502871205904, -0.03281378178834749
1078444800, 1.2365, 1.2369, 1.2398, 1.2214, 0.2345329559239891, -1.253538212697117
1078704000, 1.2398, 1.2402, 1.2398, 1.2214, -0.03226326826907211, -1.51637360864655
1078790400, 1.2312, 1.2316, 1.2344, 1.2214, 0.2274204028589923, -0.8284600389863537
1078876800, 1.2224, 1.2228, 1.2344, 1.2214, 0.9489528795811563, -0.1145287958115057
1078963200, 1.2344, 1.2348, 1.239, 1.2214, 0.3402462734931936, -1.085547634478278
1079049600, 1.2214, 1.2218, 1.239, 1.2214, 1.40822007532339, -0.03274930407728475
1079308800, 1.2264, 1.2268, 1.239, 1.2232, 0.9947814742335281, -0.293542074363978
1079395200, 1.2271, 1.2275, 1.239, 1.2232, 0.9371689348871195, -0.3504196886969253
1079481600, 1.2232, 1.2236, 1.239, 1.2121, 1.258992805755384, -0.9401569653368268
1079568000, 1.239, 1.2394, 1.239, 1.2119, -0.03228410008070669, -2.219531880548819
1079654400, 1.2296, 1.23, 1.2351, 1.2119, 0.4147690305790586, -1.472023422251139
1079913600, 1.2347, 1.2351, 1.2351, 1.2119, 1.798368874423191e-014, -1.87899894711265
1080000000, 1.2351, 1.2355, 1.2351, 1.2119, -0.03238604161605991, -1.91077645534775
1080086400, 1.2121, 1.2125, 1.2316, 1.2119, 1.575777576107592, -0.0495008662651542
1080172800, 1.2119, 1.2123, 1.2365, 1.2119, 1.996864427758066, -0.03300602359930323
1080259200, 1.2132, 1.2136, 1.2365, 1.2132, 1.88757006264424, -0.03297065611605308
1080518400, 1.2157, 1.2161, 1.2365, 1.2002, 1.678045570453234, -1.307888459323848
1080604800, 1.2174, 1.2178, 1.2365, 1.2002, 1.536060456711018, -1.445703959257439
1080691200, 1.2316, 1.232, 1.2365, 1.2002, 0.3653783696005155, -2.58200714517701
1080777600, 1.2365, 1.2369, 1.2365, 1.2002, -0.03234937323089009, -2.968054993934489
1080864000, 1.2136, 1.214, 1.2172, 1.2002, 0.2636783124588079, -1.137112722478579
1081123200, 1.2002, 1.2006, 1.2172, 1.2002, 1.383102816197315, -0.03332777870354574
1081209600, 1.214, 1.2144, 1.2172, 1.1937, 0.2306425041186273, -1.705107084019765
